,0,1,2
244,ᱺ,OL CHIKI MU-GAAHLAA TTUDDAAG (U+1C7A),e1b1ba
245,ᱻ,OL CHIKI RELAA (U+1C7B),e1b1bb
246,ᱼ,OL CHIKI PHAARKAA (U+1C7C),e1b1bc
247,ᱽ,OL CHIKI AHAD (U+1C7D),e1b1bd
248,᱾,OL CHIKI PUNCTUATION MUCAAD (U+1C7E),e1b1be
249,᱿,OL CHIKI PUNCTUATION DOUBLE MUCAAD (U+1C7F),e1b1bf
250,ᲀ,CYRILLIC SMALL LETTER ROUNDED VE (U+1C80),e1b280
251,ᲁ,CYRILLIC SMALL LETTER LONG-LEGGED DE (U+1C81),e1b281
252,ᲂ,CYRILLIC SMALL LETTER NARROW O (U+1C82),e1b282
253,ᲃ,CYRILLIC SMALL LETTER WIDE ES (U+1C83),e1b283
254,ᲄ,CYRILLIC SMALL LETTER TALL TE (U+1C84),e1b284
255,ᲅ,CYRILLIC SMALL LETTER THREE-LEGGED TE (U+1C85),e1b285
256,ᲆ,CYRILLIC SMALL LETTER TALL HARD SIGN (U+1C86),e1b286
257,ᲇ,CYRILLIC SMALL LETTER TALL YAT (U+1C87),e1b287
258,ᲈ,CYRILLIC SMALL LETTER UNBLENDED UK (U+1C88),e1b288
259,Ა,GEORGIAN MTAVRULI CAPITAL LETTER AN (U+1C90),e1b290
260,Ბ,GEORGIAN MTAVRULI CAPITAL LETTER BAN (U+1C91),e1b291
261,Გ,GEORGIAN MTAVRULI CAPITAL LETTER GAN (U+1C92),e1b292
262,Დ,GEORGIAN MTAVRULI CAPITAL LETTER DON (U+1C93),e1b293
263,Ე,GEORGIAN MTAVRULI CAPITAL LETTER EN (U+1C94),e1b294
264,Ვ,GEORGIAN MTAVRULI CAPITAL LETTER VIN (U+1C95),e1b295
265,Ზ,GEORGIAN MTAVRULI CAPITAL LETTER ZEN (U+1C96),e1b296
266,Თ,GEORGIAN MTAVRULI CAPITAL LETTER TAN (U+1C97),e1b297
267,Ი,GEORGIAN MTAVRULI CAPITAL LETTER IN (U+1C98),e1b298
268,Კ,GEORGIAN MTAVRULI CAPITAL LETTER KAN (U+1C99),e1b299
269,Ლ,GEORGIAN MTAVRULI CAPITAL LETTER LAS (U+1C9A),e1b29a
270,Მ,GEORGIAN MTAVRULI CAPITAL LETTER MAN (U+1C9B),e1b29b
271,Ნ,GEORGIAN MTAVRULI CAPITAL LETTER NAR (U+1C9C),e1b29c
272,Ო,GEORGIAN MTAVRULI CAPITAL LETTER ON (U+1C9D),e1b29d
273,Პ,GEORGIAN MTAVRULI CAPITAL LETTER PAR (U+1C9E),e1b29e
274,Ჟ,GEORGIAN MTAVRULI CAPITAL LETTER ZHAR (U+1C9F),e1b29f
275,Რ,GEORGIAN MTAVRULI CAPITAL LETTER RAE (U+1CA0),e1b2a0
276,Ს,GEORGIAN MTAVRULI CAPITAL LETTER SAN (U+1CA1),e1b2a1
277,Ტ,GEORGIAN MTAVRULI CAPITAL LETTER TAR (U+1CA2),e1b2a2
278,Უ,GEORGIAN MTAVRULI CAPITAL LETTER UN (U+1CA3),e1b2a3
279,Ფ,GEORGIAN MTAVRULI CAPITAL LETTER PHAR (U+1CA4),e1b2a4
280,Ქ,GEORGIAN MTAVRULI CAPITAL LETTER KHAR (U+1CA5),e1b2a5
281,Ღ,GEORGIAN MTAVRULI CAPITAL LETTER GHAN (U+1CA6),e1b2a6
